lead_id,lead_date,origin,locadora,region,supervisor,sdr,order_date,credit_analysis_date,approved_date,formalized_date,signed_date,stage,gmv,amount_paid,target_formalized,target_signed,is_order,is_approved,is_formalized,is_signed
L100000,2026-01-17,C2C,Locadora B,Sudeste,Supervisor B,SDR B,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100001,2026-05-21,Inbound,Locadora A,Sudeste,Supervisor B,SDR G,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100002,2026-04-29,Inbound,Locadora A,Sudeste,Supervisor D,SDR C,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100003,2026-03-21,Farmer,Locadora A,Nordeste,Supervisor C,SDR E,2026-03-26,2026-03-27,2026-03-30,,,Aprovado,0.0,0.0,6,5,1,1,0,0
L100004,2026-03-20,Crossover,Locadora A,Sul,Supervisor D,SDR H,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100005,2026-06-05,Farmer,Locadora A,Sudeste,Supervisor D,SDR B,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100006,2026-01-16,Inbound,Locadora A,Sudeste,Supervisor B,SDR D,2026-01-19,2026-01-22,,,,Análise de Crédito,0.0,0.0,6,5,1,0,0,0
L100007,2026-05-07,Crossover,Locadora A,Norte,Supervisor D,SDR B,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100008,2026-02-06,Crossover,Locadora A,Sudeste,Supervisor C,SDR D,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100009,2026-01-18,Farmer,Locadora A,Sudeste,Supervisor C,SDR C,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100010,2026-04-06,Inbound,Locadora A,Sudeste,Supervisor B,SDR H,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100011,2026-06-26,C2C,Locadora A,Sudeste,Supervisor A,SDR C,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100012,2026-05-14,Farmer,Locadora B,Nordeste,Supervisor A,SDR E,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100013,2026-05-18,Inbound,Locadora A,Nordeste,Supervisor B,SDR B,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100014,2026-05-10,Inbound,Locadora B,Sudeste,Supervisor D,SDR D,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100015,2026-05-23,Inbound,Locadora B,Nordeste,Supervisor D,SDR G,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100016,2026-04-03,C2C,Locadora A,Sudeste,Supervisor A,SDR F,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100017,2026-01-24,Crossover,Locadora A,Nordeste,Supervisor C,SDR C,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100018,2026-06-01,Inbound,Locadora A,Sudeste,Supervisor D,SDR H,,,,,,Lead,0.0,0.0,6,5,0,0,0,0
L100019,2026-03-23,Inbound,Locadora B,Sudeste,Supervisor D,SDR G,2026-03-27,2026-03-29,,,,Análise de Crédito,0.0,0.0,6,5,1,0,0,0
